subject_nr,subject_id,game_nr,trial_nr,perc_noise,perc_noise_sample,orientation,orientation_sample,orientation_0,orientation_0_sample,orientation_positive_unfair,orientation_positive_fair,reference_line,radii
1,2,6,17,0,7.232667506,80,80,-10,-10,0,0,90,0
1,2,6,18,0,4.90581025,100,100,10,10,1,1,90,0
1,2,7,1,6,4.122416512,10,8.385816544,10,8.385816544,1,1,0,0
1,2,7,2,6,5.670575363,10,10.25778194,10,10.25778194,1,1,0,0
1,2,7,3,6,6.111181611,10,9.071825158,10,9.071825158,1,1,0,0
1,2,7,4,6,5.569057771,-5,-5.035610404,-5,-5.035610404,0,0,0,0
1,2,7,5,6,6.748134825,-10,-7.88143258,-10,-7.88143258,0,0,0,0
1,2,7,6,6,5.770294338,-10,-10.51256285,-10,-10.51256285,0,0,0,0
1,2,7,7,6,6.414944906,-5,-5.212104846,-5,-5.212104846,0,0,0,0
1,2,7,8,6,5.132022716,5,5.950110077,5,5.950110077,1,1,0,0
1,2,7,9,6,5.707134295,-5,-4.890343356,-5,-4.890343356,0,0,0,0
1,2,7,10,6,5.805129504,5,5.067646092,5,5.067646092,1,1,0,0
1,2,7,11,6,7.360165641,-10,-9.146117637,-10,-9.146117637,0,0,0,0
1,2,7,12,6,5.125650993,5,3.870179397,5,3.870179397,1,1,0,0
1,2,7,13,6,6.629217342,-10,-10.93409999,-10,-10.93409999,0,0,0,0
1,2,7,14,6,6.360248096,5,5.596162082,5,5.596162082,1,1,0,0
1,2,7,15,6,5.615337483,-5,-4.406501367,-5,-4.406501367,0,0,0,0
1,2,7,16,6,5.199982203,10,10.09068454,10,10.09068454,1,1,0,0
1,2,7,17,0,4.122416512,-10,-10,-10,-10,0,0,0,0
1,2,7,18,0,5.670575363,10,10,10,10,1,1,0,0
1,2,8,1,18,20.8866012,85,86.37261557,-5,-3.627384435,0,0,90,0
1,2,8,2,18,16.5387684,95,97.83481554,5,7.83481554,1,1,90,0
1,2,8,3,18,14.86131651,80,82.58200938,-10,-7.417990622,0,0,90,0
1,2,8,4,18,19.20325141,100,101.1543109,10,11.15431093,1,1,90,0
1,2,8,5,18,17.56774618,80,80.9902155,-10,-9.0097845,0,0,90,0
1,2,8,6,18,16.91017689,95,90.15693772,5,0.156937718,1,1,90,0
1,2,8,7,18,17.16209467,100,92.69817215,10,2.698172153,1,1,90,0
1,2,8,8,18,17.87825472,85,84.85022108,-5,-5.149778918,0,0,90,0
1,2,8,9,18,14.40362875,85,84.0681464,-5,-5.9318536,0,0,90,0
1,2,8,10,18,15.08091837,80,78.68164928,-10,-11.31835072,0,0,90,0
1,2,8,11,18,23.69763446,95,93.00145062,5,3.001450616,1,1,90,0
1,2,8,12,18,16.74482719,85,88.30356388,-5,-1.696436118,0,0,90,0
1,2,8,13,18,20.31275536,95,102.940255,5,12.94025497,1,1,90,0
1,2,8,14,18,18.61081505,80,79.15995469,-10,-10.84004531,0,0,90,0
1,2,8,15,18,17.09816151,100,98.96406119,10,8.964061189,1,1,90,0
1,2,8,16,18,19.58823952,100,100.9318039,10,10.93180387,1,1,90,0
1,2,8,17,0,20.8866012,80,80,-10,-10,0,0,90,0
1,2,8,18,0,16.5387684,100,100,10,10,1,1,90,0
1,2,9,1,18,18.80735524,5,6.872343907,5,6.872343907,1,1,0,0
1,2,9,2,18,14.64443143,-10,-13.73280258,-10,-13.73280258,0,0,0,0
1,2,9,3,18,14.58613396,10,11.84987602,10,11.84987602,1,1,0,0
1,2,9,4,18,16.67000973,-5,-1.415972182,-5,-1.415972182,0,0,0,0
1,2,9,5,18,19.53764613,5,5.583080478,5,5.583080478,1,1,0,0
1,2,9,6,18,19.79152786,10,10.63003843,10,10.63003843,1,1,0,0
1,2,9,7,18,16.74559842,5,-2.041344728,5,-2.041344728,1,0,0,0
1,2,9,8,18,14.59103387,-10,-5.962237826,-10,-5.962237826,0,0,0,0
1,2,9,9,18,19.50523742,10,9.489887698,10,9.489887698,1,1,0,0
1,2,9,10,18,14.9124914,-5,-3.473520074,-5,-3.473520074,0,0,0,0
1,2,9,11,18,17.36100353,-10,-12.01459048,-10,-12.01459048,0,0,0,0
1,2,9,12,18,13.60727195,-5,-6.215943496,-5,-6.215943496,0,0,0,0
1,2,9,13,18,18.53517301,5,6.358119081,5,6.358119081,1,1,0,0
1,2,9,14,18,17.4532923,-5,-0.694216622,-5,-0.694216622,0,0,0,0
1,2,9,15,18,15.16582638,-10,-14.49445727,-10,-14.49445727,0,0,0,0
1,2,9,16,18,15.18256638,10,5.298454739,10,5.298454739,1,1,0,0
1,2,9,17,0,18.80735524,-10,-10,-10,-10,0,0,0,0
1,2,9,18,0,14.64443143,10,10,10,10,1,1,0,0
1,2,10,1,6,6.028276308,80,79.243834,-10,-10.756166,0,0,90,0
1,2,10,2,6,5.38083505,100,101.323356,10,11.32335603,1,1,90,0
1,2,10,3,6,7.025963459,80,79.96339812,-10,-10.03660188,0,0,90,0
1,2,10,4,6,7.282823433,95,95.60568504,5,5.605685035,1,1,90,0
1,2,10,5,6,6.312857611,100,100.2844923,10,10.28449226,1,1,90,0
1,2,10,6,6,7.368442519,85,84.78635315,-5,-5.213646848,0,0,90,0
1,2,10,7,6,6.084827005,80,79.70282288,-10,-10.29717712,0,0,90,0
1,2,10,8,6,5.050617249,95,94.74188752,5,4.741887523,1,1,90,0
1,2,10,9,6,7.222571848,85,81.27258476,-5,-8.72741524,0,0,90,0
1,2,10,10,6,4.513589454,95,96.39353141,5,6.393531413,1,1,90,0
1,2,10,11,6,6.045129653,80,82.00358762,-10,-7.996412383,0,0,90,0
1,2,10,12,6,6.32969448,85,85.54745371,-5,-4.452546289,0,0,90,0
1,2,10,13,6,5.486956935,95,94.40730502,5,4.407305021,1,1,90,0
1,2,10,14,6,5.865537017,100,99.53445688,10,9.534456875,1,1,90,0
1,2,10,15,6,6.315130685,100,101.3570569,10,11.35705693,1,1,90,0
1,2,10,16,6,6.088058454,85,80.99342543,-5,-9.006574571,0,0,90,0
1,2,10,17,0,6.028276308,80,80,-10,-10,0,0,90,0
1,2,10,18,0,5.38083505,100,100,10,10,1,1,90,0
1,2,11,1,6,4.908005829,-10,-12.09017558,-10,-12.09017558,0,0,0,0
1,2,11,2,6,5.429332253,5,5.982101894,5,5.982101894,1,1,0,0
1,2,11,3,6,5.149603962,-5,-5.448673786,-5,-5.448673786,0,0,0,0
1,2,11,4,6,3.99184595,5,5.079876362,5,5.079876362,1,1,0,0
1,2,11,5,6,6.038720043,5,4.724618788,5,4.724618788,1,1,0,0
1,2,11,6,6,5.007772832,-10,-12.22011297,-10,-12.22011297,0,0,0,0
1,2,11,7,6,4.664959736,10,7.888731354,10,7.888731354,1,1,0,0
1,2,11,8,6,4.949334068,-5,-6.78945056,-5,-6.78945056,0,0,0,0
1,2,11,9,6,5.310779521,10,10.88148297,10,10.88148297,1,1,0,0
1,2,11,10,6,5.969766976,-10,-10.07803877,-10,-10.07803877,0,0,0,0
1,2,11,11,6,5.741975533,10,8.704918554,10,8.704918554,1,1,0,0
1,2,11,12,6,6.350126972,-5,-5.656780223,-5,-5.656780223,0,0,0,0
1,2,11,13,6,5.975712244,-5,-5.93447995,-5,-5.93447995,0,0,0,0
1,2,11,14,6,6.043339502,-10,-10.9208664,-10,-10.9208664,0,0,0,0
1,2,11,15,6,6.195128734,10,9.462725497,10,9.462725497,1,1,0,0
1,2,11,16,6,5.13105093,5,4.800376476,5,4.800376476,1,1,0,0
1,2,11,17,0,4.908005829,-10,-10,-10,-10,0,0,0,0
1,2,11,18,0,5.429332253,10,10,10,10,1,1,0,0
1,2,12,1,18,19.42263059,80,82.32596724,-10,-7.674032763,0,0,90,0
1,2,12,2,18,18.57734662,95,98.7332472,5,8.733247198,1,1,90,0
1,2,12,3,18,15.14341922,100,98.07337147,10,8.073371471,1,1,90,0
1,2,12,4,18,18.84231888,80,75.90792435,-10,-14.09207565,0,0,90,0
1,2,12,5,18,19.78367174,95,90.59825702,5,0.598257024,1,1,90,0
1,2,12,6,18,20.73672374,95,92.82220011,5,2.822200108,1,1,90,0
1,2,12,7,18,22.80357896,85,83.66682021,-5,-6.333179792,0,0,90,0
1,2,12,8,18,13.5681912,100,101.2954572,10,11.29545722,1,1,90,0
1,2,12,9,18,15.20902536,80,76.26451658,-10,-13.73548342,0,0,90,0
1,2,12,10,18,16.18216398,85,88.03207223,-5,-1.967927771,0,0,90,0
1,2,12,11,18,19.88397485,85,88.21529589,-5,-1.784704113,0,0,90,0
1,2,12,12,18,21.53480913,100,101.7002229,10,11.70022289,1,1,90,0
1,2,12,13,18,17.04272657,95,89.51426019,5,-0.485739808,1,0,90,0
1,2,12,14,18,18.449468,100,94.00467264,10,4.004672641,1,1,90,0
1,2,12,15,18,21.83259496,80,76.74786126,-10,-13.25213874,0,0,90,0
1,2,12,16,18,19.93494983,85,82.84242569,-5,-7.157574306,0,0,90,0
1,2,12,17,0,19.42263059,80,80,-10,-10,0,0,90,0
1,2,12,18,0,18.57734662,100,100,10,10,1,1,90,0
1,2,13,1,18,20.8691416,-5,-5.117172934,-5,-5.117172934,0,0,0,0
1,2,13,2,18,17.89634905,-10,-13.27660997,-10,-13.27660997,0,0,0,0
1,2,13,3,18,18.37657165,-10,-11.3832947,-10,-11.3832947,0,0,0,0
1,2,13,4,18,18.86365529,10,15.84385152,10,15.84385152,1,1,0,0
1,2,13,5,18,24.06116564,10,8.680381094,10,8.680381094,1,1,0,0
1,2,13,6,18,21.56665702,10,5.967233434,10,5.967233434,1,1,0,0
1,2,13,7,18,23.50319631,-5,-8.596359923,-5,-8.596359923,0,0,0,0
1,2,13,8,18,15.05760169,-5,-7.343245396,-5,-7.343245396,0,0,0,0
1,2,13,9,18,17.52533096,5,1.971367711,5,1.971367711,1,1,0,0
1,2,13,10,18,19.78607077,-10,-12.27509655,-10,-12.27509655,0,0,0,0
1,2,13,11,18,18.9612899,10,6.853436667,10,6.853436667,1,1,0,0
1,2,13,12,18,19.27233413,5,6.655941938,5,6.655941938,1,1,0,0
1,2,13,13,18,19.42796057,5,9.06466967,5,9.06466967,1,1,0,0
1,2,13,14,18,15.11417029,-5,-8.655709342,-5,-8.655709342,0,0,0,0
1,2,13,15,18,16.82406848,5,8.586952164,5,8.586952164,1,1,0,0
1,2,13,16,18,16.18643309,-10,-13.19175235,-10,-13.19175235,0,0,0,0
1,2,13,17,0,20.8691416,-10,-10,-10,-10,0,0,0,0
1,2,13,18,0,17.89634905,10,10,10,10,1,1,0,0
1,2,14,1,6,6.494772735,95,93.63555832,5,3.635558316,1,1,90,0
1,2,14,2,6,5.582516163,100,99.58088176,10,9.580881757,1,1,90,0
1,2,14,3,6,5.606471789,80,80.53195527,-10,-9.468044732,0,0,90,0
1,2,14,4,6,4.855361106,85,84.54952742,-5,-5.450472582,0,0,90,0
1,2,14,5,6,5.671230478,85,85.44641168,-5,-4.55358832,0,0,90,0
1,2,14,6,6,7.409202999,100,100.909545,10,10.90954501,1,1,90,0
1,2,14,7,6,5.317251825,85,83.20319024,-5,-6.79680976,0,0,90,0
1,2,14,8,6,4.980734295,80,78.49671567,-10,-11.50328433,0,0,90,0
1,2,14,9,6,4.76434527,80,81.41612584,-10,-8.583874157,0,0,90,0
1,2,14,10,6,4.559143551,95,95.98015999,5,5.980159994,1,1,90,0
1,2,14,11,6,5.489582172,100,100.5162876,10,10.51628758,1,1,90,0
1,2,14,12,6,6.14330228,95,95.20503452,5,5.205034518,1,1,90,0
1,2,14,13,6,7.369981267,85,84.41295169,-5,-5.587048308,0,0,90,0
1,2,14,14,6,5.321549584,100,98.57000778,10,8.570007781,1,1,90,0
1,2,14,15,6,5.778264248,80,79.43168083,-10,-10.56831917,0,0,90,0
1,2,14,16,6,4.700381213,95,95.31238259,5,5.312382587,1,1,90,0
1,2,14,17,0,6.494772735,80,80,-10,-10,0,0,90,0
1,2,14,18,0,5.582516163,100,100,10,10,1,1,90,0
1,2,15,1,6,6.298427687,5,3.42939131,5,3.42939131,1,1,0,0
1,2,15,2,6,5.255712397,5,3.5481284,5,3.5481284,1,1,0,0
1,2,15,3,6,6.773583538,-5,-4.68890569,-5,-4.68890569,0,0,0,0
1,2,15,4,6,6.437456499,-5,-5.724886084,-5,-5.724886084,0,0,0,0
1,2,15,5,6,6.40405647,10,8.704777032,10,8.704777032,1,1,0,0
1,2,15,6,6,4.910171889,-5,-4.576644564,-5,-4.576644564,0,0,0,0
1,2,15,7,6,5.676364031,10,10.15367585,10,10.15367585,1,1,0,0
1,2,15,8,6,6.647754393,10,10.40604522,10,10.40604522,1,1,0,0
1,2,15,9,6,6.198330996,-10,-9.532344872,-10,-9.532344872,0,0,0,0
1,2,15,10,6,7.787496935,-10,-9.909894763,-10,-9.909894763,0,0,0,0
1,2,15,11,6,7.425836341,5,2.910426195,5,2.910426195,1,1,0,0
1,2,15,12,6,6.108996408,-10,-9.790393608,-10,-9.790393608,0,0,0,0
1,2,15,13,6,5.685713915,-5,-1.66777391,-5,-1.66777391,0,0,0,0
1,2,15,14,6,5.630423581,10,6.98073109,10,6.98073109,1,1,0,0
1,2,15,15,6,5.954101533,-10,-9.741403285,-10,-9.741403285,0,0,0,0
1,2,15,16,6,5.832515312,5,7.635757672,5,7.635757672,1,1,0,0
1,2,15,17,0,6.298427687,-10,-10,-10,-10,0,0,0,0
1,2,15,18,0,5.255712397,10,10,10,10,1,1,0,0
1,2,16,1,18,16.75847321,80,75.23664864,-10,-14.76335136,0,0,90,0
1,2,16,2,18,20.53042414,100,106.9326444,10,16.93264443,1,1,90,0
1,2,16,3,18,22.22141681,95,93.71406403,5,3.714064034,1,1,90,0
1,2,16,4,18,17.33285061,85,86.39266969,-5,-3.607330313,0,0,90,0
1,2,16,5,18,19.22305312,80,80.15003724,-10,-9.849962761,0,0,90,0
1,2,16,6,18,17.31673797,85,85.40096234,-5,-4.599037662,0,0,90,0
1,2,16,7,18,22.48646749,95,95.8408358,5,5.840835803,1,1,90,0
1,2,16,8,18,22.48339117,85,86.24730654,-5,-3.752693464,0,0,90,0
