subject_id;game_nr;trial_nr;perc_noise;perc_noise_sample
2;7;14;6;6.360248096
2;7;15;6;5.615337483
2;7;16;6;5.199982203
2;7;17;6;4.122416512
2;7;18;6;5.670575363
2;8;1;18;20.8866012
2;8;2;18;16.5387684
2;8;3;18;14.86131651
2;8;4;18;19.20325141
2;8;5;18;17.56774618
2;8;6;18;16.91017689
2;8;7;18;17.16209467
2;8;8;18;17.87825472
2;8;9;18;14.40362875
2;8;10;18;15.08091837
2;8;11;18;23.69763446
2;8;12;18;16.74482719
2;8;13;18;20.31275536
2;8;14;18;18.61081505
2;8;15;18;17.09816151
2;8;16;18;19.58823952
2;8;17;18;20.8866012
2;8;18;18;16.5387684
2;9;1;18;18.80735524
2;9;2;18;14.64443143
2;9;3;18;14.58613396
2;9;4;18;16.67000973
2;9;5;18;19.53764613
2;9;6;18;19.79152786
2;9;7;18;16.74559842
2;9;8;18;14.59103387
2;9;9;18;19.50523742
2;9;10;18;14.9124914
2;9;11;18;17.36100353
2;9;12;18;13.60727195
2;9;13;18;18.53517301
2;9;14;18;17.4532923
2;9;15;18;15.16582638
2;9;16;18;15.18256638
2;9;17;18;18.80735524
2;9;18;18;14.64443143
2;10;1;6;6.028276308
2;10;2;6;5.38083505
2;10;3;6;7.025963459
2;10;4;6;7.282823433
2;10;5;6;6.312857611
2;10;6;6;7.368442519
2;10;7;6;6.084827005
2;10;8;6;5.050617249
2;10;9;6;7.222571848
2;10;10;6;4.513589454
2;10;11;6;6.045129653
2;10;12;6;6.32969448
2;10;13;6;5.486956935
2;10;14;6;5.865537017
2;10;15;6;6.315130685
2;10;16;6;6.088058454
2;10;17;6;6.028276308
2;10;18;6;5.38083505
2;11;1;6;4.908005829
2;11;2;6;5.429332253
2;11;3;6;5.149603962
2;11;4;6;3.99184595
2;11;5;6;6.038720043
2;11;6;6;5.007772832
2;11;7;6;4.664959736
2;11;8;6;4.949334068
2;11;9;6;5.310779521
2;11;10;6;5.969766976
2;11;11;6;5.741975533
2;11;12;6;6.350126972
2;11;13;6;5.975712244
2;11;14;6;6.043339502
2;11;15;6;6.195128734
2;11;16;6;5.13105093
2;11;17;6;4.908005829
2;11;18;6;5.429332253
2;12;1;18;19.42263059
2;12;2;18;18.57734662
2;12;3;18;15.14341922
2;12;4;18;18.84231888
2;12;5;18;19.78367174
2;12;6;18;20.73672374
2;12;7;18;22.80357896
2;12;8;18;13.5681912
2;12;9;18;15.20902536
2;12;10;18;16.18216398
2;12;11;18;19.88397485
2;12;12;18;21.53480913
2;12;13;18;17.04272657
2;12;14;18;18.449468
2;12;15;18;21.83259496
2;12;16;18;19.93494983
2;12;17;18;19.42263059
2;12;18;18;18.57734662
2;13;1;18;20.8691416
2;13;2;18;17.89634905
2;13;3;18;18.37657165
2;13;4;18;18.86365529
2;13;5;18;24.06116564
2;13;6;18;21.56665702
2;13;7;18;23.50319631
2;13;8;18;15.05760169
2;13;9;18;17.52533096
2;13;10;18;19.78607077
2;13;11;18;18.9612899
2;13;12;18;19.27233413
2;13;13;18;19.42796057
2;13;14;18;15.11417029
2;13;15;18;16.82406848
2;13;16;18;16.18643309
2;13;17;18;20.8691416
2;13;18;18;17.89634905
2;14;1;6;6.494772735
2;14;2;6;5.582516163
2;14;3;6;5.606471789
2;14;4;6;4.855361106
2;14;5;6;5.671230478
2;14;6;6;7.409202999
2;14;7;6;5.317251825
2;14;8;6;4.980734295
2;14;9;6;4.76434527
2;14;10;6;4.559143551
2;14;11;6;5.489582172
2;14;12;6;6.14330228
2;14;13;6;7.369981267
2;14;14;6;5.321549584
2;14;15;6;5.778264248
2;14;16;6;4.700381213
2;14;17;6;6.494772735
2;14;18;6;5.582516163
2;15;1;6;6.298427687
2;15;2;6;5.255712397
2;15;3;6;6.773583538
2;15;4;6;6.437456499
2;15;5;6;6.40405647
2;15;6;6;4.910171889
2;15;7;6;5.676364031
2;15;8;6;6.647754393
2;15;9;6;6.198330996
2;15;10;6;7.787496935
2;15;11;6;7.425836341
2;15;12;6;6.108996408
2;15;13;6;5.685713915
2;15;14;6;5.630423581
2;15;15;6;5.954101533
2;15;16;6;5.832515312
2;15;17;6;6.298427687
2;15;18;6;5.255712397
2;16;1;18;16.75847321
2;16;2;18;20.53042414
2;16;3;18;22.22141681
2;16;4;18;17.33285061
2;16;5;18;19.22305312
2;16;6;18;17.31673797
2;16;7;18;22.48646749
2;16;8;18;22.48339117
2;16;9;18;21.97974331
2;16;10;18;16.97405585
2;16;11;18;22.86945664
2;16;12;18;17.25491829
2;16;13;18;20.97533879
2;16;14;18;21.12999792
2;16;15;18;13.02952098
2;16;16;18;19.31607647
2;16;17;18;16.75847321
2;16;18;18;20.53042414
3;1;1;6;5.758296006
3;1;2;6;4.143140572
3;1;3;6;5.614608209
3;1;4;6;8.600322555
3;1;5;6;5.034132454
3;1;6;6;6.887528502
3;1;7;6;5.374772257
3;1;8;6;6.963842622
3;1;9;6;5.968387651
3;1;10;6;5.847920459
3;1;11;6;5.827783559
3;1;12;6;6.705960811
3;1;13;6;6.329835802
3;1;14;6;4.085770233
3;1;15;6;5.94759044
3;1;16;6;4.546147249
3;1;17;6;5.758296006
3;1;18;6;4.143140572
3;2;1;18;19.98634282
3;2;2;18;15.59933185
3;2;3;18;16.65957151
3;2;4;18;17.376319
3;2;5;18;19.17753563
3;2;6;18;15.30307005
3;2;7;18;19.00927097
3;2;8;18;15.63934275
3;2;9;18;16.78962231
3;2;10;18;17.56687614
3;2;11;18;17.3117949
3;2;12;18;16.22089547
3;2;13;18;18.83522397
3;2;14;18;18.40273255
3;2;15;18;15.06495407
3;2;16;18;21.20946557
3;2;17;18;19.98634282
3;2;18;18;15.59933185
3;3;1;6;5.875755582
3;3;2;6;6.300651253
3;3;3;6;5.328383307
3;3;4;6;6.757102074
3;3;5;6;5.366127488
3;3;6;6;6.568688141
3;3;7;6;6.770462541
3;3;8;6;4.568822743
3;3;9;6;6.781932626
3;3;10;6;6.280934523
3;3;11;6;3.941663829
3;3;12;6;4.777518252
3;3;13;6;7.202641755
3;3;14;6;6.044110376
3;3;15;6;6.56473348
3;3;16;6;5.336491535
3;3;17;6;5.875755582
3;3;18;6;6.300651253
3;4;1;6;6.670427488
3;4;2;6;6.168596153
3;4;3;6;6.368559664
3;4;4;6;7.375427083
3;4;5;6;6.572158416
3;4;6;6;7.84567494
3;4;7;6;6.281116194
3;4;8;6;5.761932719
3;4;9;6;6.22419049
3;4;10;6;5.715626116
3;4;11;6;7.584942785
3;4;12;6;4.472528129
3;4;13;6;6.062844695
3;4;14;6;5.160764539
3;4;15;6;4.774295686
3;4;16;6;4.969263772
3;4;17;6;6.670427488
3;4;18;6;6.168596153
3;5;1;6;6.200130091
3;5;2;6;5.35827125
3;5;3;6;4.558087104
3;5;4;6;7.206795141
3;5;5;6;6.588308498
3;5;6;6;4.862143264
3;5;7;6;5.52192339
3;5;8;6;5.038239363
3;5;9;6;6.247967958
3;5;10;6;5.638437538
3;5;11;6;6.170796642
3;5;12;6;6.351645936
3;5;13;6;6.082185126
3;5;14;6;7.84573274
3;5;15;6;6.389204834
